"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.echipadetocilari.ro/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.min.js?ver=1.2.1","application/javascript","200","OK","Indexable","","","121","","https://www.echipadetocilari.ro/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.min.js?ver=1.2.1"
"https://www.echipadetocilari.ro/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.29.0","application/javascript","200","OK","Indexable","","","101","","https://www.echipadetocilari.ro/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.29.0"
"https://www.echipadetocilari.ro/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3","application/javascript","200","OK","Indexable","","","79","","https://www.echipadetocilari.ro/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3"
"https://www.echipadetocilari.ro/wp-content/themes/hello-elementor/style.min.css?ver=3.0.1","text/css","200","OK","Indexable","","","89","","https://www.echipadetocilari.ro/wp-content/themes/hello-elementor/style.min.css?ver=3.0.1"
"https://www.echipadetocilari.ro/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css?ver=4.1.4","text/css","200","OK","Indexable","","","124","","https://www.echipadetocilari.ro/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css?ver=4.1.4"
"https://www.echipadetocilari.ro/wp-content/themes/hello-elementor/theme.min.css?ver=3.0.1","text/css","200","OK","Indexable","","","89","","https://www.echipadetocilari.ro/wp-content/themes/hello-elementor/theme.min.css?ver=3.0.1"
"https://www.echipadetocilari.ro/wp-includes/js/dist/vendor/react.min.js?ver=18.3.1.1","application/javascript","200","OK","Indexable","","","84","","https://www.echipadetocilari.ro/wp-includes/js/dist/vendor/react.min.js?ver=18.3.1.1"
"https://www.echipadetocilari.ro/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.29.0","text/css","200","OK","Indexable","","","110","","https://www.echipadetocilari.ro/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.29.0"
"https://www.echipadetocilari.ro/wp-includes/js/dist/escape-html.min.js?ver=3f093e5cca67aa0f8b56","application/javascript","200","OK","Indexable","","","95","","https://www.echipadetocilari.ro/wp-includes/js/dist/escape-html.min.js?ver=3f093e5cca67aa0f8b56"
"https://www.echipadetocilari.ro/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=4.1.4","text/css","200","OK","Indexable","","","104","","https://www.echipadetocilari.ro/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=4.1.4"
"https://www.echipadetocilari.ro/wp-content/plugins/elementor-pro/assets/css/widget-lottie.min.css?ver=3.29.0","text/css","200","OK","Indexable","","","108","","https://www.echipadetocilari.ro/wp-content/plugins/elementor-pro/assets/css/widget-lottie.min.css?ver=3.29.0"
"https://www.echipadetocilari.ro/wp-content/plugins/elementor-pro/assets/lib/lottie/lottie.min.js?ver=5.6.6","application/javascript","200","OK","Indexable","","","106","","https://www.echipadetocilari.ro/wp-content/plugins/elementor-pro/assets/lib/lottie/lottie.min.js?ver=5.6.6"
"https://www.echipadetocilari.ro/wp-includes/js/dist/dom-ready.min.js?ver=a06281ae5cf5500e9317","application/javascript","200","OK","Indexable","","","93","","https://www.echipadetocilari.ro/wp-includes/js/dist/dom-ready.min.js?ver=a06281ae5cf5500e9317"
"https://www.echipadetocilari.ro/wp-content/uploads/elementor/google-fonts/css/montserrat.css?ver=1743230266","text/css","200","OK","Indexable","","","107","","https://www.echipadetocilari.ro/wp-content/uploads/elementor/google-fonts/css/montserrat.css?ver=1743230266"
